transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp1000350_c0_seq1|m.22503 comp1000350_c0_seq1|g.22503  ,mlei1,_,3,-,-,-,N,-,108,-,-
comp19238_c0_seq2|m.14477 comp19238_c0_seq2|g.14477  ,mlei9652,S,2,-,-,-,N,-,109,-,-
comp19239_c0_seq2|m.14478 comp19239_c0_seq2|g.14478  ,mlei9653,S,5,-,-,-,N,-,618,-,-
comp19240_c0_seq2|m.14480 comp19240_c0_seq2|g.14480  ,mlei9654,_,1,-,-,-,N,-,274,-,-
comp19240_c0_seq3|m.14481 comp19240_c0_seq3|g.14481  ,mlei9655,_,2,-,-,-,N,-,158,-,-
comp19241_c0_seq1|m.14483 comp19241_c0_seq1|g.14483  ,mlei9656,S,1,-,-,-,N,-,610,-,-
comp19242_c0_seq1|m.14485 comp19242_c0_seq1|g.14485  ,mlei9657,_,1,-,-,-,N,-,399,-,-
comp19242_c0_seq2|m.14486 comp19242_c0_seq2|g.14486  ,mlei9658,_,1,-,-,-,N,-,399,-,-
comp19242_c0_seq3|m.14487 comp19242_c0_seq3|g.14487  ,mlei9659,_,1,-,-,-,N,-,399,-,-
comp19243_c0_seq1|m.14488 comp19243_c0_seq1|g.14488  ,mlei9660,_,1,hsap513,mmus820,-,Y,CCDC51,776,Ccdc51,-
comp19244_c0_seq3|m.14491 comp19244_c0_seq3|g.14491  ,mlei9661,_,1,-,-,-,N,-,313,-,-
comp19245_c0_seq1|m.14496 comp19245_c0_seq1|g.14496  ,mlei9662,_,2,-,-,-,N,-,759,-,-
comp19246_c0_seq1|m.14499 comp19246_c0_seq1|g.14499  ,mlei9663,_,1,-,-,-,N,-,289,-,-
comp19247_c0_seq1|m.14500 comp19247_c0_seq1|g.14500  ,mlei9664,_,2,-,-,-,N,-,1188,-,-
comp19248_c0_seq1|m.14501 comp19248_c0_seq1|g.14501  ,mlei9665,S,1,-,-,-,N,-,273,-,-
comp19249_c0_seq1|m.14503 comp19249_c0_seq1|g.14503  ,mlei9666,M,4,hsap725,mmus1441,-,Y,HARS2,504,Hars2,-
comp19249_c0_seq2|m.14505 comp19249_c0_seq2|g.14505  ,mlei9667,_,1,-,-,scer1082,Y,-,498,-,HTS1
comp19250_c0_seq1|m.14507 comp19250_c0_seq1|g.14507  ,mlei9668,_,2,hsap681,mmus1258,scer499,Y,TARS,725,Tars,THS1
comp19251_c0_seq1|m.14508 comp19251_c0_seq1|g.14508  ,mlei9669,_,2,-,-,-,N,-,429,-,-
comp19252_c0_seq1|m.14509 comp19252_c0_seq1|g.14509  ,mlei9670,_,4,-,-,-,N,-,557,-,-
comp19252_c0_seq2|m.14511 comp19252_c0_seq2|g.14511  ,mlei9671,M,3,-,-,-,Y,-,559,-,-
comp19253_c0_seq1|m.14512 comp19253_c0_seq1|g.14512  ,mlei9672,_,1,-,-,-,N,-,146,-,-
comp19253_c0_seq2|m.14513 comp19253_c0_seq2|g.14513  ,mlei9673,_,1,-,-,-,N,-,146,-,-
comp19254_c0_seq1|m.14514 comp19254_c0_seq1|g.14514  ,mlei9674,M,3,-,-,-,Y,-,357,-,-
comp19256_c0_seq1|m.14515 comp19256_c0_seq1|g.14515  ,mlei9675,_,3,-,-,scer319,Y,-,311,-,RPN11
comp19257_c0_seq1|m.14518 comp19257_c0_seq1|g.14518  ,mlei9676,_,2,-,-,-,N,-,645,-,-
comp19258_c0_seq1|m.14520 comp19258_c0_seq1|g.14520  ,mlei9677,_,3,-,-,-,N,-,531,-,-
comp19259_c0_seq3|m.14521 comp19259_c0_seq3|g.14521  ,mlei9678,_,1,-,-,-,N,-,991,-,-
comp19259_c0_seq3|m.14522 comp19259_c0_seq3|g.14522  ,mlei9679,_,1,-,-,-,N,-,558,-,-
comp19259_c0_seq4|m.14523 comp19259_c0_seq4|g.14523  ,mlei9680,_,1,-,-,-,N,-,520,-,-
comp19259_c0_seq5|m.14524 comp19259_c0_seq5|g.14524  ,mlei9681,_,1,-,-,-,N,-,658,-,-
comp19259_c0_seq5|m.14525 comp19259_c0_seq5|g.14525  ,mlei9682,_,1,-,-,-,N,-,558,-,-
comp19259_c0_seq5|m.14526 comp19259_c0_seq5|g.14526  ,mlei9683,_,1,-,-,-,N,-,520,-,-
comp19259_c0_seq6|m.14527 comp19259_c0_seq6|g.14527  ,mlei9684,_,1,-,-,-,N,-,520,-,-
comp19260_c0_seq1|m.14528 comp19260_c0_seq1|g.14528  ,mlei9685,_,2,-,-,-,N,-,262,-,-
comp19260_c0_seq2|m.14529 comp19260_c0_seq2|g.14529  ,mlei9686,_,2,-,-,-,N,-,144,-,-
comp19262_c0_seq1|m.14530 comp19262_c0_seq1|g.14530  ,mlei9687,_,1,-,-,-,N,-,754,-,-
comp19263_c0_seq1|m.14531 comp19263_c0_seq1|g.14531  ,mlei9688,S,5,-,-,-,N,-,127,-,-
comp19263_c0_seq2|m.14532 comp19263_c0_seq2|g.14532  ,mlei9689,_,3,-,-,-,N,-,242,-,-
comp192649_c0_seq1|m.18247 comp192649_c0_seq1|g.18247  ,mlei9690,_,1,-,-,-,N,-,204,-,-
comp19265_c0_seq1|m.14533 comp19265_c0_seq1|g.14533  ,mlei9691,S,1,-,-,-,N,-,450,-,-
comp19265_c0_seq2|m.14534 comp19265_c0_seq2|g.14534  ,mlei9692,_,2,-,-,-,N,-,396,-,-
comp19265_c0_seq3|m.14535 comp19265_c0_seq3|g.14535  ,mlei9693,S,1,-,-,-,N,-,450,-,-
comp19266_c0_seq1|m.14536 comp19266_c0_seq1|g.14536  ,mlei9694,_,2,-,-,-,N,-,474,-,-
comp19266_c0_seq2|m.14537 comp19266_c0_seq2|g.14537  ,mlei9695,_,2,-,-,-,N,-,114,-,-
comp19267_c0_seq1|m.14538 comp19267_c0_seq1|g.14538  ,mlei9696,_,3,-,-,-,N,-,711,-,-
comp19268_c0_seq2|m.14539 comp19268_c0_seq2|g.14539  ,mlei9697,_,2,-,-,-,N,-,216,-,-
comp19268_c0_seq3|m.14540 comp19268_c0_seq3|g.14540  ,mlei9698,_,2,-,-,-,N,-,153,-,-
comp19268_c0_seq5|m.14541 comp19268_c0_seq5|g.14541  ,mlei9699,_,2,-,-,-,N,-,218,-,-
comp19269_c1_seq1|m.14542 comp19269_c1_seq1|g.14542  ,mlei9700,S,1,-,-,-,N,-,479,-,-
comp19270_c0_seq1|m.14548 comp19270_c0_seq1|g.14548  ,mlei9701,_,3,-,-,-,N,-,122,-,-
comp19270_c0_seq1|m.14543 comp19270_c0_seq1|g.14543  ,mlei9702,_,1,-,-,-,N,-,2153,-,-
comp19270_c0_seq1|m.14544 comp19270_c0_seq1|g.14544  ,mlei9703,M,4,-,-,-,N,-,395,-,-
comp19271_c0_seq1|m.14549 comp19271_c0_seq1|g.14549  ,mlei9704,_,1,-,-,-,N,-,1009,-,-
comp19272_c0_seq1|m.14550 comp19272_c0_seq1|g.14550  ,mlei9705,_,1,-,-,-,N,-,118,-,-
comp19272_c0_seq2|m.14551 comp19272_c0_seq2|g.14551  ,mlei9706,_,2,-,-,-,N,-,250,-,-
comp19273_c0_seq1|m.14552 comp19273_c0_seq1|g.14552  ,mlei9707,_,5,-,-,-,N,-,714,-,-
comp19274_c0_seq2|m.14553 comp19274_c0_seq2|g.14553  ,mlei9708,S,2,-,-,-,N,-,475,-,-
comp19275_c0_seq3|m.14555 comp19275_c0_seq3|g.14555  ,mlei9709,_,1,-,-,-,N,-,346,-,-
comp19275_c0_seq4|m.14556 comp19275_c0_seq4|g.14556  ,mlei9710,_,2,-,-,-,N,-,110,-,-
comp19277_c0_seq3|m.14557 comp19277_c0_seq3|g.14557  ,mlei9711,M,5,-,-,-,N,-,643,-,-
comp19278_c0_seq1|m.14559 comp19278_c0_seq1|g.14559  ,mlei9712,_,3,-,-,-,N,-,599,-,-
comp19279_c0_seq1|m.14560 comp19279_c0_seq1|g.14560  ,mlei9713,S,1,-,-,-,N,-,516,-,-
comp19280_c0_seq1|m.14562 comp19280_c0_seq1|g.14562  ,mlei9714,_,4,-,-,-,N,-,539,-,-
comp19281_c0_seq1|m.14563 comp19281_c0_seq1|g.14563  ,mlei9715,_,2,-,-,-,N,-,629,-,-
comp19281_c0_seq2|m.14564 comp19281_c0_seq2|g.14564  ,mlei9716,M,3,-,-,-,Y,-,640,-,-
comp19282_c0_seq1|m.14565 comp19282_c0_seq1|g.14565  ,mlei9717,_,1,-,-,-,N,-,917,-,-
comp19282_c0_seq2|m.14569 comp19282_c0_seq2|g.14569  ,mlei9718,_,1,-,-,-,N,-,917,-,-
comp19284_c0_seq1|m.14573 comp19284_c0_seq1|g.14573  ,mlei9719,M,3,hsap656,mmus1144,-,Y,MCCC2,511,Mccc2,-
comp19285_c0_seq1|m.14575 comp19285_c0_seq1|g.14575  ,mlei9720,_,1,-,-,-,N,-,723,-,-
comp19286_c0_seq1|m.14576 comp19286_c0_seq1|g.14576  ,mlei9721,_,1,-,-,-,N,-,753,-,-
comp19287_c0_seq1|m.14579 comp19287_c0_seq1|g.14579  ,mlei9722,_,1,-,-,-,N,-,203,-,-
comp19288_c0_seq1|m.14581 comp19288_c0_seq1|g.14581  ,mlei9723,S,1,-,-,-,N,-,114,-,-
comp19288_c0_seq2|m.14582 comp19288_c0_seq2|g.14582  ,mlei9724,_,1,-,-,-,N,-,174,-,-
comp19289_c0_seq1|m.14583 comp19289_c0_seq1|g.14583  ,mlei9725,_,1,-,-,-,N,-,482,-,-
comp19289_c0_seq2|m.14584 comp19289_c0_seq2|g.14584  ,mlei9726,_,1,-,-,-,N,-,482,-,-
comp19290_c0_seq1|m.14585 comp19290_c0_seq1|g.14585  ,mlei9727,_,2,-,-,-,N,-,207,-,-
comp19291_c0_seq1|m.14586 comp19291_c0_seq1|g.14586  ,mlei9728,_,3,-,-,-,N,-,146,-,-
comp19292_c0_seq1|m.14587 comp19292_c0_seq1|g.14587  ,mlei9729,_,2,-,-,-,N,-,353,-,-
comp19292_c0_seq2|m.14590 comp19292_c0_seq2|g.14590  ,mlei9730,_,2,-,-,-,N,-,353,-,-
comp19293_c0_seq1|m.14593 comp19293_c0_seq1|g.14593  ,mlei9731,M,4,-,-,-,N,-,697,-,-
comp19294_c0_seq1|m.14595 comp19294_c0_seq1|g.14595  ,mlei9732,S,1,-,-,-,N,-,296,-,-
comp19295_c0_seq1|m.14597 comp19295_c0_seq1|g.14597  ,mlei9733,_,1,-,-,-,N,-,1030,-,-
comp19296_c0_seq4|m.14598 comp19296_c0_seq4|g.14598  ,mlei9734,_,1,-,-,-,N,-,341,-,-
comp19297_c0_seq1|m.14600 comp19297_c0_seq1|g.14600  ,mlei9735,_,2,-,-,-,N,-,306,-,-
comp192983_c0_seq1|m.18249 comp192983_c0_seq1|g.18249  ,mlei9736,_,1,-,-,-,N,-,489,-,-
comp19298_c0_seq1|m.14601 comp19298_c0_seq1|g.14601  ,mlei9737,S,1,-,-,-,N,-,959,-,-
comp19299_c0_seq2|m.14602 comp19299_c0_seq2|g.14602  ,mlei9738,_,2,-,-,-,N,-,101,-,-
comp19299_c0_seq3|m.14603 comp19299_c0_seq3|g.14603  ,mlei9739,S,3,-,-,-,N,-,421,-,-
comp19299_c0_seq7|m.14604 comp19299_c0_seq7|g.14604  ,mlei9740,_,2,-,-,-,N,-,101,-,-
comp19302_c0_seq2|m.14605 comp19302_c0_seq2|g.14605  ,mlei9741,_,2,-,-,-,N,-,154,-,-
comp19303_c0_seq1|m.14606 comp19303_c0_seq1|g.14606  ,mlei9742,M,4,-,-,-,N,-,1166,-,-
comp19304_c0_seq1|m.14609 comp19304_c0_seq1|g.14609  ,mlei9743,_,2,-,-,-,N,-,413,-,-
comp19305_c0_seq1|m.14610 comp19305_c0_seq1|g.14610  ,mlei9744,_,2,-,-,-,N,-,305,-,-
comp19305_c0_seq2|m.14611 comp19305_c0_seq2|g.14611  ,mlei9745,_,2,-,mmus532,-,Y,-,305,Ppm1k,-
comp19306_c0_seq1|m.14612 comp19306_c0_seq1|g.14612  ,mlei9746,_,2,-,-,-,N,-,385,-,-
comp193074_c0_seq1|m.18251 comp193074_c0_seq1|g.18251  ,mlei9747,S,2,-,-,-,N,-,485,-,-
comp19307_c0_seq1|m.14613 comp19307_c0_seq1|g.14613  ,mlei9748,_,3,-,-,-,N,-,748,-,-
comp19308_c0_seq1|m.14614 comp19308_c0_seq1|g.14614  ,mlei9749,_,1,-,-,-,N,-,740,-,-
comp19308_c0_seq1|m.14615 comp19308_c0_seq1|g.14615  ,mlei9750,_,3,-,-,-,N,-,264,-,-
comp19309_c0_seq1|m.14616 comp19309_c0_seq1|g.14616  ,mlei9751,_,1,-,-,-,N,-,465,-,-
comp19309_c0_seq2|m.14619 comp19309_c0_seq2|g.14619  ,mlei9752,_,3,-,-,-,N,-,678,-,-
comp19310_c0_seq1|m.14622 comp19310_c0_seq1|g.14622  ,mlei9753,S,3,-,-,-,N,-,129,-,-
comp19310_c0_seq2|m.14623 comp19310_c0_seq2|g.14623  ,mlei9754,_,3,-,-,-,N,-,300,-,-
comp19310_c0_seq3|m.14625 comp19310_c0_seq3|g.14625  ,mlei9755,_,5,-,-,-,N,-,113,-,-
comp19310_c0_seq3|m.14624 comp19310_c0_seq3|g.14624  ,mlei9756,S,3,-,-,-,N,-,129,-,-
comp19311_c0_seq1|m.14626 comp19311_c0_seq1|g.14626  ,mlei9757,_,1,-,-,-,N,-,269,-,-
comp19311_c0_seq2|m.14628 comp19311_c0_seq2|g.14628  ,mlei9758,_,2,-,-,-,N,-,111,-,-
comp19311_c0_seq4|m.14629 comp19311_c0_seq4|g.14629  ,mlei9759,_,2,-,-,-,N,-,111,-,-
comp19312_c0_seq1|m.14630 comp19312_c0_seq1|g.14630  ,mlei9760,S,1,-,-,-,N,-,292,-,-
comp19312_c0_seq2|m.14631 comp19312_c0_seq2|g.14631  ,mlei9761,_,1,-,-,-,N,-,258,-,-
comp19312_c0_seq3|m.14633 comp19312_c0_seq3|g.14633  ,mlei9762,S,1,-,-,-,N,-,296,-,-
comp19313_c0_seq1|m.14634 comp19313_c0_seq1|g.14634  ,mlei9763,M,3,-,-,-,Y,-,323,-,-
comp19313_c0_seq2|m.14636 comp19313_c0_seq2|g.14636  ,mlei9764,M,3,-,-,-,Y,-,323,-,-
comp19314_c0_seq1|m.14638 comp19314_c0_seq1|g.14638  ,mlei9765,M,3,-,-,-,Y,-,1027,-,-
comp19314_c0_seq2|m.14641 comp19314_c0_seq2|g.14641  ,mlei9766,M,3,hsap1048,mmus1468,scer817,Y,GLDC,1019,Gldc,GCV2
comp19315_c0_seq1|m.14645 comp19315_c0_seq1|g.14645  ,mlei9767,_,2,-,-,-,N,-,138,-,-
comp19315_c0_seq1|m.14644 comp19315_c0_seq1|g.14644  ,mlei9768,_,2,-,-,-,N,-,519,-,-
comp19315_c0_seq2|m.14646 comp19315_c0_seq2|g.14646  ,mlei9769,_,4,-,-,-,N,-,462,-,-
comp19315_c0_seq2|m.14647 comp19315_c0_seq2|g.14647  ,mlei9770,_,2,-,-,-,N,-,138,-,-
comp19316_c1_seq1|m.14648 comp19316_c1_seq1|g.14648  ,mlei9771,_,4,-,-,-,N,-,478,-,-
comp19317_c0_seq1|m.14649 comp19317_c0_seq1|g.14649  ,mlei9772,_,3,-,-,-,N,-,320,-,-
comp19318_c0_seq2|m.14650 comp19318_c0_seq2|g.14650  ,mlei9773,_,1,-,-,-,N,-,203,-,-
comp19318_c0_seq3|m.14651 comp19318_c0_seq3|g.14651  ,mlei9774,_,1,-,-,-,N,-,247,-,-
comp19319_c0_seq1|m.14652 comp19319_c0_seq1|g.14652  ,mlei9775,_,5,-,-,-,N,-,546,-,-
comp19320_c0_seq1|m.14655 comp19320_c0_seq1|g.14655  ,mlei9776,_,2,-,-,-,N,-,146,-,-
comp19320_c0_seq2|m.14656 comp19320_c0_seq2|g.14656  ,mlei9777,_,2,-,-,-,N,-,293,-,-
comp19321_c0_seq1|m.14657 comp19321_c0_seq1|g.14657  ,mlei9778,_,1,-,-,-,N,-,440,-,-
comp19322_c0_seq2|m.14658 comp19322_c0_seq2|g.14658  ,mlei9779,_,3,-,-,-,N,-,419,-,-
comp19323_c0_seq1|m.14659 comp19323_c0_seq1|g.14659  ,mlei9780,_,2,-,-,-,N,-,511,-,-
comp19323_c0_seq2|m.14660 comp19323_c0_seq2|g.14660  ,mlei9781,_,2,hsap1912,mmus1010,scer802,Y,ALDH3A2,511,Aldh3a2,HFD1
comp193247_c0_seq1|m.18252 comp193247_c0_seq1|g.18252  ,mlei9782,_,3,-,-,-,N,-,239,-,-
comp19324_c0_seq1|m.14661 comp19324_c0_seq1|g.14661  ,mlei9783,_,2,-,-,-,N,-,381,-,-
comp19324_c0_seq3|m.14662 comp19324_c0_seq3|g.14662  ,mlei9784,_,2,-,-,-,N,-,381,-,-
comp19324_c0_seq4|m.14663 comp19324_c0_seq4|g.14663  ,mlei9785,_,2,-,-,-,N,-,381,-,-
comp19324_c0_seq5|m.14664 comp19324_c0_seq5|g.14664  ,mlei9786,_,3,-,-,-,N,-,340,-,-
comp1932506_c0_seq1|m.23894 comp1932506_c0_seq1|g.23894  ,mlei9787,_,1,-,-,-,N,-,101,-,-
comp19325_c0_seq1|m.14665 comp19325_c0_seq1|g.14665  ,mlei9788,_,3,-,-,-,N,-,694,-,-
comp19327_c0_seq1|m.14667 comp19327_c0_seq1|g.14667  ,mlei9789,S,2,-,-,-,N,-,252,-,-
comp19327_c0_seq1|m.14666 comp19327_c0_seq1|g.14666  ,mlei9790,_,3,-,-,-,N,-,268,-,-
comp19328_c0_seq1|m.14668 comp19328_c0_seq1|g.14668  ,mlei9791,_,2,-,-,-,N,-,336,-,-
comp19329_c0_seq2|m.14669 comp19329_c0_seq2|g.14669  ,mlei9792,_,1,-,-,-,N,-,757,-,-
comp19330_c0_seq1|m.14670 comp19330_c0_seq1|g.14670  ,mlei9793,_,5,-,-,-,N,-,379,-,-
comp19331_c0_seq1|m.14671 comp19331_c0_seq1|g.14671  ,mlei9794,_,3,-,-,-,N,-,162,-,-
comp19331_c0_seq2|m.14672 comp19331_c0_seq2|g.14672  ,mlei9795,_,3,-,-,-,N,-,121,-,-
comp19333_c0_seq2|m.14673 comp19333_c0_seq2|g.14673  ,mlei9796,_,1,-,-,-,N,-,433,-,-
comp19333_c0_seq3|m.14675 comp19333_c0_seq3|g.14675  ,mlei9797,_,1,-,-,-,N,-,433,-,-
comp19333_c0_seq5|m.14677 comp19333_c0_seq5|g.14677  ,mlei9798,_,1,-,-,-,N,-,433,-,-
comp19333_c0_seq5|m.14678 comp19333_c0_seq5|g.14678  ,mlei9799,_,2,-,-,-,N,-,176,-,-
comp19334_c0_seq1|m.14679 comp19334_c0_seq1|g.14679  ,mlei9800,_,5,-,-,-,N,-,341,-,-
comp19335_c0_seq1|m.14681 comp19335_c0_seq1|g.14681  ,mlei9801,S,4,-,-,-,N,-,417,-,-
comp19335_c0_seq2|m.14682 comp19335_c0_seq2|g.14682  ,mlei9802,S,4,-,-,-,N,-,410,-,-
comp19335_c0_seq4|m.14683 comp19335_c0_seq4|g.14683  ,mlei9803,S,4,-,-,-,N,-,410,-,-
comp19335_c0_seq5|m.14684 comp19335_c0_seq5|g.14684  ,mlei9804,S,4,-,-,-,N,-,417,-,-
comp19336_c0_seq1|m.14685 comp19336_c0_seq1|g.14685  ,mlei9805,_,2,-,-,-,N,-,141,-,-
comp19336_c0_seq2|m.14686 comp19336_c0_seq2|g.14686  ,mlei9806,_,2,-,-,-,N,-,115,-,-
comp19336_c0_seq4|m.14687 comp19336_c0_seq4|g.14687  ,mlei9807,_,2,-,-,-,N,-,242,-,-
comp19337_c0_seq1|m.14689 comp19337_c0_seq1|g.14689  ,mlei9808,_,2,-,-,-,N,-,844,-,-
comp19338_c0_seq1|m.14690 comp19338_c0_seq1|g.14690  ,mlei9809,_,2,-,-,-,N,-,174,-,-
comp19339_c0_seq1|m.14692 comp19339_c0_seq1|g.14692  ,mlei9810,_,3,-,-,-,N,-,764,-,-
comp19340_c0_seq1|m.14693 comp19340_c0_seq1|g.14693  ,mlei9811,_,2,-,-,-,N,-,813,-,-
comp19340_c0_seq2|m.14696 comp19340_c0_seq2|g.14696  ,mlei9812,_,2,-,-,-,N,-,818,-,-
comp19341_c1_seq1|m.14699 comp19341_c1_seq1|g.14699  ,mlei9813,_,2,-,-,-,N,-,111,-,-
comp19341_c1_seq3|m.14701 comp19341_c1_seq3|g.14701  ,mlei9814,_,2,-,-,-,N,-,346,-,-
comp19342_c0_seq1|m.14703 comp19342_c0_seq1|g.14703  ,mlei9815,_,2,-,-,-,N,-,118,-,-
comp19342_c0_seq2|m.14704 comp19342_c0_seq2|g.14704  ,mlei9816,_,2,-,-,-,N,-,249,-,-
comp19342_c0_seq4|m.14705 comp19342_c0_seq4|g.14705  ,mlei9817,_,2,-,-,-,N,-,249,-,-
comp19343_c0_seq1|m.14706 comp19343_c0_seq1|g.14706  ,mlei9818,_,1,-,-,-,N,-,851,-,-
comp19344_c0_seq1|m.14707 comp19344_c0_seq1|g.14707  ,mlei9819,S,1,-,-,-,N,-,432,-,-
comp19344_c0_seq2|m.14708 comp19344_c0_seq2|g.14708  ,mlei9820,S,1,-,-,-,N,-,395,-,-
comp19345_c0_seq1|m.14709 comp19345_c0_seq1|g.14709  ,mlei9821,_,2,-,-,-,N,-,901,-,-
comp19347_c0_seq1|m.14711 comp19347_c0_seq1|g.14711  ,mlei9822,_,2,-,-,-,N,-,317,-,-
comp19348_c0_seq1|m.14712 comp19348_c0_seq1|g.14712  ,mlei9823,_,2,-,-,-,N,-,615,-,-
comp19349_c0_seq1|m.14713 comp19349_c0_seq1|g.14713  ,mlei9824,_,3,-,-,-,N,-,586,-,-
comp19349_c0_seq2|m.14714 comp19349_c0_seq2|g.14714  ,mlei9825,_,3,-,-,-,N,-,586,-,-
comp1934_c0_seq1|m.447 comp1934_c0_seq1|g.447  ,mlei9826,_,2,-,-,-,N,-,206,-,-
comp19350_c0_seq1|m.14715 comp19350_c0_seq1|g.14715  ,mlei9827,S,1,-,-,-,N,-,186,-,-
comp19350_c0_seq5|m.14717 comp19350_c0_seq5|g.14717  ,mlei9828,S,1,-,-,-,N,-,176,-,-
comp19351_c0_seq1|m.14720 comp19351_c0_seq1|g.14720  ,mlei9829,_,2,-,-,-,N,-,249,-,-
comp19352_c0_seq1|m.14721 comp19352_c0_seq1|g.14721  ,mlei9830,_,4,-,-,-,N,-,737,-,-
comp19353_c0_seq2|m.14722 comp19353_c0_seq2|g.14722  ,mlei9831,_,5,-,-,-,N,-,373,-,-
comp19354_c0_seq1|m.14723 comp19354_c0_seq1|g.14723  ,mlei9832,_,1,-,-,-,N,-,371,-,-
comp19355_c0_seq1|m.14724 comp19355_c0_seq1|g.14724  ,mlei9833,_,2,-,-,-,N,-,773,-,-
comp19355_c0_seq2|m.14727 comp19355_c0_seq2|g.14727  ,mlei9834,_,2,-,-,-,N,-,773,-,-
comp19356_c0_seq1|m.14730 comp19356_c0_seq1|g.14730  ,mlei9835,_,1,-,-,-,N,-,522,-,-
comp19357_c0_seq1|m.14731 comp19357_c0_seq1|g.14731  ,mlei9836,_,2,-,-,-,N,-,551,-,-
comp19358_c0_seq1|m.14732 comp19358_c0_seq1|g.14732  ,mlei9837,_,1,-,-,-,N,-,102,-,-
comp19358_c0_seq2|m.14733 comp19358_c0_seq2|g.14733  ,mlei9838,_,1,-,-,-,N,-,102,-,-
comp19358_c0_seq3|m.14734 comp19358_c0_seq3|g.14734  ,mlei9839,_,2,-,-,-,N,-,131,-,-
comp19359_c0_seq1|m.14736 comp19359_c0_seq1|g.14736  ,mlei9840,S,1,-,-,-,N,-,581,-,-
comp19360_c0_seq1|m.14738 comp19360_c0_seq1|g.14738  ,mlei9841,S,1,-,-,-,N,-,425,-,-
comp19360_c0_seq2|m.14739 comp19360_c0_seq2|g.14739  ,mlei9842,_,1,-,-,-,N,-,772,-,-
comp19361_c0_seq2|m.14740 comp19361_c0_seq2|g.14740  ,mlei9843,_,1,-,-,-,N,-,442,-,-
comp19362_c0_seq1|m.14741 comp19362_c0_seq1|g.14741  ,mlei9844,S,2,-,-,-,N,-,426,-,-
comp19363_c0_seq1|m.14742 comp19363_c0_seq1|g.14742  ,mlei9845,_,2,-,-,-,N,-,402,-,-
comp19364_c0_seq1|m.14744 comp19364_c0_seq1|g.14744  ,mlei9846,_,3,-,-,-,N,-,398,-,-
comp19365_c0_seq1|m.14745 comp19365_c0_seq1|g.14745  ,mlei9847,_,2,-,-,-,N,-,381,-,-
comp19365_c0_seq2|m.14746 comp19365_c0_seq2|g.14746  ,mlei9848,_,2,-,-,-,N,-,362,-,-
comp19366_c0_seq1|m.14747 comp19366_c0_seq1|g.14747  ,mlei9849,_,2,-,-,-,N,-,429,-,-
comp19367_c0_seq2|m.14748 comp19367_c0_seq2|g.14748  ,mlei9850,M,4,-,-,-,N,-,209,-,-
comp19367_c0_seq3|m.14749 comp19367_c0_seq3|g.14749  ,mlei9851,M,4,-,-,-,N,-,272,-,-
comp19367_c0_seq4|m.14750 comp19367_c0_seq4|g.14750  ,mlei9852,M,4,hsap792,mmus1363,-,Y,MRPS18B,243,Mrps18b,-
comp19368_c0_seq1|m.14751 comp19368_c0_seq1|g.14751  ,mlei9853,S,1,-,-,-,N,-,513,-,-
comp19368_c0_seq3|m.14752 comp19368_c0_seq3|g.14752  ,mlei9854,S,1,-,-,-,N,-,513,-,-
comp19368_c0_seq4|m.14753 comp19368_c0_seq4|g.14753  ,mlei9855,S,1,-,-,-,N,-,513,-,-
comp19369_c0_seq1|m.14754 comp19369_c0_seq1|g.14754  ,mlei9856,_,1,-,-,-,N,-,589,-,-
comp19370_c0_seq2|m.14756 comp19370_c0_seq2|g.14756  ,mlei9857,S,3,-,-,-,N,-,522,-,-
comp19371_c0_seq2|m.14757 comp19371_c0_seq2|g.14757  ,mlei9858,M,5,-,-,-,N,-,402,-,-
comp19372_c0_seq2|m.14758 comp19372_c0_seq2|g.14758  ,mlei9859,_,2,-,-,-,N,-,538,-,-
comp19373_c0_seq1|m.14759 comp19373_c0_seq1|g.14759  ,mlei9860,S,1,-,-,-,N,-,451,-,-
comp19374_c0_seq1|m.14760 comp19374_c0_seq1|g.14760  ,mlei9861,_,2,-,-,-,N,-,760,-,-
comp19374_c0_seq2|m.14761 comp19374_c0_seq2|g.14761  ,mlei9862,_,2,-,-,-,N,-,760,-,-
comp19375_c0_seq1|m.14762 comp19375_c0_seq1|g.14762  ,mlei9863,M,3,-,-,-,Y,-,421,-,-
comp19376_c0_seq1|m.14764 comp19376_c0_seq1|g.14764  ,mlei9864,_,1,-,-,-,N,-,769,-,-
comp19377_c0_seq1|m.14765 comp19377_c0_seq1|g.14765  ,mlei9865,M,5,-,-,-,N,-,779,-,-
comp19379_c0_seq1|m.14767 comp19379_c0_seq1|g.14767  ,mlei9866,_,4,-,-,-,N,-,840,-,-
comp19380_c0_seq1|m.14769 comp19380_c0_seq1|g.14769  ,mlei9867,_,3,-,-,-,N,-,388,-,-
comp19380_c0_seq2|m.14771 comp19380_c0_seq2|g.14771  ,mlei9868,_,1,-,-,-,N,-,595,-,-
comp19380_c0_seq3|m.14772 comp19380_c0_seq3|g.14772  ,mlei9869,_,1,-,-,-,N,-,321,-,-
comp19381_c0_seq1|m.14773 comp19381_c0_seq1|g.14773  ,mlei9870,_,5,-,-,-,N,-,771,-,-
comp19382_c0_seq1|m.14774 comp19382_c0_seq1|g.14774  ,mlei9871,_,3,-,-,-,N,-,586,-,-
